城市,PM10,PM2.5,AQI达标率,时间,季节,AQI达标率(小数),PM10环比变化率(%),PM2.5环比变化率(%),AQI达标率环比变化率(%),污染等级
东莞市,42,27,1.0,2021-01,冬季,1.0,0.0,0.0,0.0,优秀
东莞市,48,26,0.893,2021-02,冬季,0.893,14.28571428571428,-3.703703703703709,-10.7,良好
东莞市,54,27,0.742,2021-03,春季,0.742,12.5,3.8461538461538547,-16.90929451287794,一般
东莞市,41,21,0.867,2021-04,春季,0.867,-24.07407407407407,-22.22222222222222,16.846361185983838,良好
东莞市,36,19,0.871,2021-05,春季,0.871,-12.195121951219512,-9.523809523809524,0.46136101499423265,良好
东莞市,24,13,0.833,2021-06,夏季,0.833,-33.333333333333336,-31.57894736842105,-4.362801377726755,一般
东莞市,22,11,0.903,2021-07,夏季,0.903,-8.333333333333337,-15.384615384615385,8.40336134453783,良好
东莞市,26,14,0.903,2021-08,夏季,0.903,18.181818181818187,27.27272727272727,0.0,良好
东莞市,27,15,0.967,2021-09,秋季,0.967,3.8461538461538547,7.14285714285714,7.087486157253586,优秀
东莞市,35,22,0.871,2021-10,秋季,0.871,29.629629629629626,46.66666666666666,-9.927611168562567,良好
东莞市,56,29,0.833,2021-11,秋季,0.833,60.00000000000001,31.818181818181813,-4.362801377726755,一般
东莞市,52,30,0.968,2021-12,冬季,0.968,-7.14285714285714,3.4482758620689724,16.206482593037208,优秀
中山市,41,28,1.0,2021-01,冬季,1.0,0.0,0.0,0.0,优秀
中山市,43,25,0.821,2021-02,冬季,0.821,4.878048780487809,-10.71428571428571,-17.900000000000006,一般
中山市,46,25,0.774,2021-03,春季,0.774,6.976744186046502,0.0,-5.724725943970754,一般
中山市,36,19,0.933,2021-04,春季,0.933,-21.739130434782606,-24.0,20.542635658914744,良好
中山市,34,19,0.871,2021-05,春季,0.871,-5.555555555555558,0.0,-6.645230439442662,良好
中山市,19,10,0.867,2021-06,夏季,0.867,-44.11764705882353,-47.36842105263158,-0.4592422502870286,良好
中山市,18,9,0.935,2021-07,夏季,0.935,-5.263157894736848,-9.999999999999998,7.843137254901977,良好
中山市,20,10,1.0,2021-08,夏季,1.0,11.111111111111116,11.111111111111116,6.951871657753994,优秀
中山市,20,11,0.933,2021-09,秋季,0.933,0.0,10.000000000000009,-6.699999999999995,良好
中山市,36,22,0.742,2021-10,秋季,0.742,80.0,100.0,-20.4715969989282,一般
中山市,52,28,0.833,2021-11,秋季,0.833,44.44444444444444,27.27272727272727,12.264150943396213,一般
中山市,54,33,0.935,2021-12,冬季,0.935,3.8461538461538547,17.85714285714286,12.244897959183687,良好
佛山市,41,28,1.0,2021-01,冬季,1.0,0.0,0.0,0.0,优秀
佛山市,52,31,0.821,2021-02,冬季,0.821,26.82926829268293,10.71428571428572,-17.900000000000006,一般
佛山市,56,29,0.742,2021-03,春季,0.742,7.692307692307687,-6.451612903225811,-9.622411693057241,一般
佛山市,43,23,0.933,2021-04,春季,0.933,-23.214285714285708,-20.68965517241379,25.741239892183287,良好
佛山市,37,20,0.839,2021-05,春季,0.839,-13.953488372093027,-13.043478260869568,-10.075026795284037,一般
佛山市,24,14,0.867,2021-06,夏季,0.867,-35.13513513513513,-30.000000000000004,3.3373063170440975,良好
佛山市,20,11,0.968,2021-07,夏季,0.968,-16.666666666666664,-21.42857142857143,11.649365628604391,优秀
佛山市,24,14,0.935,2021-08,夏季,0.935,19.999999999999996,27.27272727272727,-3.409090909090906,良好
佛山市,25,15,0.867,2021-09,秋季,0.867,4.166666666666674,7.14285714285714,-7.272727272727275,良好
佛山市,38,23,0.871,2021-10,秋季,0.871,52.0,53.33333333333334,0.46136101499423265,良好
佛山市,62,33,0.767,2021-11,秋季,0.767,63.1578947368421,43.47826086956521,-11.940298507462687,一般
佛山市,59,33,0.9,2021-12,冬季,0.9,-4.8387096774193505,0.0,17.340286831812257,良好
广州市,44,29,1.0,2021-01,冬季,1.0,0.0,0.0,0.0,优秀
广州市,53,31,0.893,2021-02,冬季,0.893,20.45454545454546,6.896551724137923,-10.7,良好
广州市,59,30,0.774,2021-03,春季,0.774,11.32075471698113,-3.2258064516129004,-13.325867861142216,一般
广州市,43,23,0.933,2021-04,春季,0.933,-27.118644067796616,-23.33333333333333,20.542635658914744,良好
广州市,39,21,0.871,2021-05,春季,0.871,-9.302325581395355,-8.695652173913048,-6.645230439442662,良好
广州市,26,15,0.833,2021-06,夏季,0.833,-33.333333333333336,-28.57142857142857,-4.362801377726755,一般
广州市,25,13,0.903,2021-07,夏季,0.903,-3.8461538461538436,-13.33333333333333,8.40336134453783,良好
广州市,29,16,0.903,2021-08,夏季,0.903,15.999999999999993,23.076923076923084,0.0,良好
广州市,28,16,0.933,2021-09,秋季,0.933,-3.4482758620689613,0.0,3.322259136212624,良好
广州市,37,23,0.935,2021-10,秋季,0.935,32.14285714285714,43.75,0.2143622722400762,良好
广州市,58,31,0.867,2021-11,秋季,0.867,56.75675675675676,34.78260869565217,-7.272727272727275,良好
广州市,55,31,1.0,2021-12,冬季,1.0,-5.1724137931034475,0.0,15.340253748558252,优秀
惠州市,43,28,1.0,2021-01,冬季,1.0,0.0,0.0,0.0,优秀
惠州市,42,24,1.0,2021-02,冬季,1.0,-2.3255813953488413,-14.28571428571429,0.0,优秀
惠州市,49,25,1.0,2021-03,春季,1.0,16.666666666666675,4.166666666666674,0.0,优秀
惠州市,37,19,1.0,2021-04,春季,1.0,-24.489795918367353,-24.0,0.0,优秀
惠州市,35,17,0.935,2021-05,春季,0.935,-5.405405405405405,-10.526315789473683,-6.499999999999995,良好
惠州市,20,9,0.933,2021-06,夏季,0.933,-42.85714285714286,-47.05882352941176,-0.21390374331551332,良好
惠州市,22,9,1.0,2021-07,夏季,1.0,10.000000000000009,0.0,7.181136120042875,优秀
惠州市,26,12,0.968,2021-08,夏季,0.968,18.181818181818187,33.33333333333333,-3.200000000000003,优秀
惠州市,23,12,0.967,2021-09,秋季,0.967,-11.538461538461542,0.0,-0.10330578512396382,优秀
惠州市,33,19,1.0,2021-10,秋季,1.0,43.47826086956521,58.33333333333333,3.412616339193386,优秀
惠州市,52,25,1.0,2021-11,秋季,1.0,57.57575757575757,31.578947368421062,0.0,优秀
惠州市,47,25,1.0,2021-12,冬季,1.0,-9.615384615384615,0.0,0.0,优秀
江门市,44,27,1.0,2021-01,冬季,1.0,0.0,0.0,0.0,优秀
江门市,52,29,0.786,2021-02,冬季,0.786,18.181818181818187,7.407407407407418,-21.4,一般
江门市,54,27,0.71,2021-03,春季,0.71,3.8461538461538547,-6.896551724137934,-9.669211195928762,一般
江门市,43,22,0.9,2021-04,春季,0.9,-20.370370370370374,-18.518518518518523,26.7605633802817,良好
江门市,39,21,0.903,2021-05,春季,0.903,-9.302325581395355,-4.545454545454541,0.33333333333334103,良好
江门市,24,13,0.867,2021-06,夏季,0.867,-38.46153846153846,-38.095238095238095,-3.9867109634551534,良好
江门市,22,11,0.935,2021-07,夏季,0.935,-8.333333333333337,-15.384615384615385,7.843137254901977,良好
江门市,25,13,1.0,2021-08,夏季,1.0,13.636363636363647,18.181818181818187,6.951871657753994,优秀
江门市,25,14,0.9,2021-09,秋季,0.9,0.0,7.692307692307687,-9.999999999999998,良好
江门市,41,24,0.774,2021-10,秋季,0.774,63.99999999999999,71.42857142857142,-14.000000000000002,一般
江门市,62,32,0.7,2021-11,秋季,0.7,51.21951219512195,33.33333333333333,-9.5607235142119,一般
江门市,61,36,0.806,2021-12,冬季,0.806,-1.6129032258064502,12.5,15.142857142857146,一般
深圳市,41,25,1.0,2021-01,冬季,1.0,0.0,0.0,0.0,优秀
深圳市,40,21,1.0,2021-02,冬季,1.0,-2.4390243902439046,-16.000000000000004,0.0,优秀
深圳市,47,23,0.968,2021-03,春季,0.968,17.500000000000004,9.523809523809534,-3.200000000000003,优秀
深圳市,38,19,0.967,2021-04,春季,0.967,-19.14893617021277,-17.391304347826086,-0.10330578512396382,优秀
深圳市,35,18,0.935,2021-05,春季,0.935,-7.8947368421052655,-5.263157894736848,-3.3092037228541815,良好
深圳市,19,9,0.933,2021-06,夏季,0.933,-45.714285714285715,-50.0,-0.21390374331551332,良好
深圳市,21,9,0.968,2021-07,夏季,0.968,10.526315789473696,0.0,3.7513397642015,优秀
深圳市,25,11,1.0,2021-08,夏季,1.0,19.047619047619047,22.222222222222232,3.3057851239669533,优秀
深圳市,21,11,1.0,2021-09,秋季,1.0,-16.000000000000004,0.0,0.0,优秀
深圳市,33,18,1.0,2021-10,秋季,1.0,57.14285714285714,63.63636363636365,0.0,优秀
深圳市,50,23,0.967,2021-11,秋季,0.967,51.515151515151516,27.777777777777768,-3.300000000000003,优秀
深圳市,50,26,1.0,2021-12,冬季,1.0,0.0,13.043478260869556,3.412616339193386,优秀
