城市,PM10,PM2.5,AQI达标率,时间,季节,AQI达标率(小数),PM10环比变化率(%),PM2.5环比变化率(%),AQI达标率环比变化率(%),污染等级
东莞市,49,32,0.968,2021-01,冬季,0.968,0.0,0.0,0.0,优秀
东莞市,25,17,0.929,2021-02,冬季,0.929,-48.97959183673469,-46.875,-4.0289256198347,良好
东莞市,38,22,0.71,2021-03,春季,0.71,52.0,29.41176470588236,-23.573735199138866,一般
东莞市,39,21,0.733,2021-04,春季,0.733,2.6315789473684292,-4.545454545454541,3.2394366197183055,一般
东莞市,31,17,0.774,2021-05,春季,0.774,-20.512820512820518,-19.047619047619047,5.593451568894947,一般
东莞市,20,9,1.0,2021-06,夏季,1.0,-35.483870967741936,-47.05882352941176,29.198966408268735,优秀
东莞市,29,15,0.645,2021-07,夏季,0.645,44.99999999999999,66.66666666666667,-35.5,较差
东莞市,25,13,0.806,2021-08,夏季,0.806,-13.793103448275868,-13.33333333333333,24.961240310077514,一般
东莞市,49,28,0.367,2021-09,秋季,0.367,96.0,115.38461538461537,-54.46650124069479,较差
东莞市,43,22,0.774,2021-10,秋季,0.774,-12.244897959183676,-21.42857142857143,110.89918256130792,一般
东莞市,41,24,0.9,2021-11,秋季,0.9,-4.651162790697672,9.090909090909083,16.279069767441868,良好
东莞市,39,23,1.0,2021-12,冬季,1.0,-4.878048780487809,-4.1666666666666625,11.111111111111116,优秀
中山市,51,32,0.935,2021-01,冬季,0.935,0.0,0.0,0.0,良好
中山市,27,18,0.929,2021-02,冬季,0.929,-47.05882352941176,-43.75,-0.6417112299465288,良好
中山市,37,20,0.935,2021-03,春季,0.935,37.037037037037045,11.111111111111116,0.6458557588805203,良好
中山市,36,18,0.8,2021-04,春季,0.8,-2.7027027027026973,-9.999999999999998,-14.438502673796794,一般
中山市,27,14,0.871,2021-05,春季,0.871,-25.0,-22.22222222222222,8.87499999999999,良好
中山市,17,8,1.0,2021-06,夏季,1.0,-37.03703703703704,-42.85714285714286,14.810562571756591,优秀
中山市,23,11,0.871,2021-07,夏季,0.871,35.29411764705883,37.5,-12.9,良好
中山市,20,10,0.871,2021-08,夏季,0.871,-13.043478260869568,-9.090909090909093,0.0,良好
中山市,49,27,0.367,2021-09,秋季,0.367,145.00000000000003,170.00000000000003,-57.864523536165336,较差
中山市,44,22,0.516,2021-10,秋季,0.516,-10.204081632653061,-18.518518518518523,40.599455040871945,较差
中山市,32,18,0.933,2021-11,秋季,0.933,-27.27272727272727,-18.181818181818176,80.8139534883721,良好
中山市,44,26,1.0,2021-12,冬季,1.0,37.5,44.44444444444444,7.181136120042875,优秀
