监测子站名称,城市,时间,季节,SO2,NO2,O3,CO_mg/m3,CO_μg/m3,PM10,PM2.5,SO2_标准化,NO2_标准化,O3_标准化,CO_μg/m3_标准化,PM10_标准化,PM2.5_标准化,SO2_环比变化率(%),NO2_环比变化率(%),O3_环比变化率(%),CO_μg/m3_环比变化率(%),PM10_环比变化率(%),PM2.5_环比变化率(%),综合污染指数
南城元岭 (东莞),东莞,2021-01,冬季,9,36,64,0.9,900.0,58,32,0.7,0.6078431372549019,0.5230769230769231,0.8571428571428572,0.6438356164383561,0.6136363636363636,0.0,0.0,0.0,0.0,0.0,0.0,3.945534897549402
南城元岭 (东莞),东莞,2021-02,冬季,8,13,46,0.8,800.0,29,17,0.6000000000000001,0.1568627450980392,0.24615384615384617,0.7142857142857142,0.2465753424657534,0.2727272727272727,-11.111111111111116,-63.888888888888886,-28.125,-11.111111111111116,-50.0,-46.875,2.236604920730626
南城元岭 (东莞),东莞,2021-03,春季,8,25,58,0.8,800.0,46,23,0.6000000000000001,0.39215686274509803,0.4307692307692308,0.7142857142857142,0.4794520547945205,0.40909090909090906,0.0,92.3076923076923,26.086956521739136,0.0,58.62068965517242,35.29411764705883,3.025754771685473
南城元岭 (东莞),东莞,2021-04,春季,7,21,50,0.8,800.0,31,19,0.5,0.3137254901960784,0.3076923076923077,0.7142857142857142,0.273972602739726,0.3181818181818182,-12.5,-16.000000000000004,-13.793103448275868,0.0,-32.608695652173914,-17.391304347826086,2.4278579330956447
南城元岭 (东莞),东莞,2021-05,春季,8,21,79,0.8,800.0,33,19,0.6000000000000001,0.3137254901960784,0.7538461538461539,0.7142857142857142,0.3013698630136986,0.3181818181818182,14.28571428571428,0.0,58.00000000000001,0.0,6.451612903225801,0.0,3.001409039523464
南城元岭 (东莞),东莞,2021-06,夏季,6,15,45,0.7,700.0,22,11,0.4000000000000001,0.19607843137254904,0.23076923076923073,0.5714285714285714,0.1506849315068493,0.13636363636363635,-25.0,-28.57142857142857,-43.0379746835443,-12.5,-33.333333333333336,-42.10526315789473,1.6853248014408369
南城元岭 (东莞),东莞,2021-07,夏季,6,13,44,0.6,600.0,22,9,0.4000000000000001,0.1568627450980392,0.2153846153846154,0.42857142857142855,0.1506849315068493,0.09090909090909091,0.0,-13.33333333333333,-2.2222222222222254,-14.28571428571429,0.0,-18.181818181818176,1.4424128114700232
南城元岭 (东莞),东莞,2021-08,夏季,6,22,60,0.7,700.0,33,18,0.4000000000000001,0.33333333333333337,0.46153846153846156,0.5714285714285714,0.3013698630136986,0.29545454545454547,0.0,69.23076923076923,36.36363636363635,16.666666666666675,50.0,100.0,2.3631247747686106
南城元岭 (东莞),东莞,2021-09,秋季,7,19,66,0.7,700.0,29,16,0.5,0.27450980392156865,0.5538461538461538,0.5714285714285714,0.2465753424657534,0.25,16.666666666666675,-13.636363636363635,10.000000000000009,0.0,-12.121212121212121,-11.111111111111116,2.3963598716620473
南城元岭 (东莞),东莞,2021-10,秋季,8,14,84,0.7,700.0,37,20,0.6000000000000001,0.17647058823529416,0.8307692307692308,0.5714285714285714,0.35616438356164387,0.34090909090909094,14.28571428571428,-26.315789473684216,27.27272727272727,0.0,27.586206896551737,25.0,2.8757418649038313
南城元岭 (东莞),东莞,2021-11,秋季,9,16,57,0.7,700.0,32,19,0.7,0.21568627450980393,0.41538461538461535,0.5714285714285714,0.2876712328767123,0.3181818181818182,12.5,14.28571428571428,-32.14285714285714,0.0,-13.513513513513509,-5.000000000000004,2.508352512381521
南城元岭 (东莞),东莞,2021-12,冬季,9,32,75,0.8,800.0,61,36,0.7,0.5294117647058824,0.6923076923076924,0.7142857142857142,0.6849315068493151,0.7045454545454546,0.0,100.0,31.578947368421062,14.28571428571428,90.625,89.4736842105263,4.025482132694059
紫马岭 (中山),中山,2021-01,冬季,6,37,56,0.6,600.0,45,31,0.4000000000000001,0.6274509803921569,0.4,0.42857142857142855,0.4657534246575343,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,2.9126849245302107
紫马岭 (中山),中山,2021-02,冬季,6,18,42,0.5,500.0,30,20,0.4000000000000001,0.2549019607843137,0.18461538461538463,0.28571428571428575,0.2602739726027397,0.34090909090909094,0.0,-51.35135135135135,-25.0,-16.666666666666664,-33.333333333333336,-35.483870967741936,1.7264146946258148
紫马岭 (中山),中山,2021-03,春季,7,26,59,0.5,500.0,40,22,0.5,0.4117647058823529,0.44615384615384623,0.28571428571428575,0.3972602739726027,0.38636363636363635,16.666666666666675,44.44444444444444,40.47619047619047,0.0,33.33333333333333,10.000000000000009,2.427256748086724
紫马岭 (中山),中山,2021-04,春季,5,16,50,0.4,400.0,28,18,0.3,0.21568627450980393,0.3076923076923077,0.14285714285714285,0.2328767123287671,0.29545454545454547,-28.57142857142857,-38.46153846153846,-15.254237288135597,-19.999999999999996,-30.000000000000004,-18.181818181818176,1.494566982842567
紫马岭 (中山),中山,2021-05,春季,5,22,72,0.4,400.0,27,16,0.3,0.33333333333333337,0.6461538461538462,0.14285714285714285,0.2191780821917808,0.25,0.0,37.5,43.99999999999999,0.0,-3.57142857142857,-11.111111111111116,1.891522404536103
紫马岭 (中山),中山,2021-06,夏季,6,11,49,0.3,300.0,18,9,0.4000000000000001,0.11764705882352942,0.29230769230769227,0.0,0.0958904109589041,0.09090909090909091,19.999999999999996,-50.0,-31.944444444444443,-25.0,-33.333333333333336,-43.75,0.9967542529992167
紫马岭 (中山),中山,2021-07,夏季,7,9,41,0.3,300.0,14,8,0.5,0.07843137254901959,0.16923076923076918,0.0,0.0410958904109589,0.06818181818181818,16.666666666666675,-18.181818181818176,-16.326530612244895,0.0,-22.22222222222222,-11.111111111111116,0.8569398503725658
紫马岭 (中山),中山,2021-08,夏季,4,12,57,0.5,500.0,23,14,0.2,0.13725490196078433,0.41538461538461535,0.28571428571428575,0.1643835616438356,0.20454545454545453,-42.85714285714286,33.33333333333333,39.02439024390243,66.66666666666667,64.28571428571428,75.0,1.4072828192489757
紫马岭 (中山),中山,2021-09,秋季,3,15,68,0.4,400.0,25,16,0.10000000000000003,0.19607843137254904,0.5846153846153846,0.14285714285714285,0.1917808219178082,0.25,-25.0,25.0,19.298245614035082,-19.999999999999996,8.695652173913038,14.28571428571428,1.465331780762885
紫马岭 (中山),中山,2021-10,秋季,6,20,93,0.5,500.0,37,22,0.4000000000000001,0.29411764705882354,0.9692307692307692,0.28571428571428575,0.35616438356164387,0.38636363636363635,100.0,33.33333333333333,36.76470588235294,25.0,48.0,37.5,2.691590721929159
紫马岭 (中山),中山,2021-11,秋季,6,30,55,0.5,500.0,39,23,0.4000000000000001,0.4901960784313726,0.3846153846153847,0.28571428571428575,0.38356164383561636,0.40909090909090906,0.0,50.0,-40.86021505376344,0.0,5.405405405405395,4.545454545454541,2.353178301687569
紫马岭 (中山),中山,2021-12,冬季,7,41,63,0.6,600.0,60,38,0.5,0.7058823529411765,0.5076923076923078,0.42857142857142855,0.6712328767123288,0.75,16.666666666666675,36.66666666666667,14.54545454545455,19.999999999999996,53.846153846153854,65.21739130434783,3.5633789659172415
惠景城 (佛山),佛山,2021-01,冬季,10,52,51,1.0,1000.0,74,31,0.8,0.9215686274509803,0.32307692307692315,1.0,0.8630136986301371,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,4.4985683400671315
金桔咀 (佛山),佛山,2021-01,冬季,3,47,49,0.8,800.0,74,30,0.10000000000000003,0.8235294117647058,0.29230769230769227,0.7142857142857142,0.8630136986301371,0.5681818181818182,-70.0,-9.615384615384615,-3.9215686274509776,-19.999999999999996,0.0,-3.2258064516129004,3.361318335170068
惠景城 (佛山),佛山,2021-02,冬季,9,18,40,0.7,700.0,33,15,0.7,0.2549019607843137,0.15384615384615385,0.5714285714285714,0.3013698630136986,0.2272727272727273,200.0,-61.702127659574465,-18.36734693877551,-12.5,-55.4054054054054,-50.0,2.208819276345465
金桔咀 (佛山),佛山,2021-02,冬季,2,18,36,0.7,700.0,31,19,0.0,0.2549019607843137,0.09230769230769231,0.5714285714285714,0.273972602739726,0.3181818181818182,-77.77777777777779,0.0,-9.999999999999998,0.0,-6.060606060606055,26.66666666666666,1.5107926454421217
惠景城 (佛山),佛山,2021-03,春季,7,41,43,0.8,800.0,56,27,0.5,0.7058823529411765,0.20000000000000007,0.7142857142857142,0.6164383561643836,0.5,250.0,127.77777777777777,19.444444444444443,14.28571428571428,80.64516129032258,42.10526315789473,3.236606423391275
金桔咀 (佛山),佛山,2021-03,春季,2,33,41,0.6,600.0,50,22,0.0,0.5490196078431373,0.16923076923076918,0.42857142857142855,0.5342465753424657,0.38636363636363635,-71.42857142857143,-19.512195121951216,-4.651162790697672,-25.0,-10.71428571428571,-18.518518518518523,2.067432017351437
惠景城 (佛山),佛山,2021-04,春季,3,29,47,0.7,700.0,35,19,0.10000000000000003,0.47058823529411764,0.2615384615384616,0.5714285714285714,0.3287671232876712,0.3181818181818182,50.0,-12.121212121212121,14.634146341463406,16.666666666666675,-30.000000000000004,-13.636363636363635,2.05050420973064
金桔咀 (佛山),佛山,2021-04,春季,3,23,35,0.5,500.0,32,16,0.10000000000000003,0.35294117647058826,0.07692307692307698,0.28571428571428575,0.2876712328767123,0.25,0.0,-20.68965517241379,-25.531914893617024,-28.57142857142857,-8.571428571428575,-15.789473684210531,1.3532497719846635
惠景城 (佛山),佛山,2021-05,春季,4,24,79,0.8,800.0,37,19,0.2,0.37254901960784315,0.7538461538461539,0.7142857142857142,0.35616438356164387,0.3181818181818182,33.33333333333333,4.347826086956519,125.71428571428571,60.00000000000001,15.625,18.75,2.7150270894831734
金桔咀 (佛山),佛山,2021-05,春季,4,23,59,0.6,600.0,32,16,0.2,0.35294117647058826,0.44615384615384623,0.42857142857142855,0.2876712328767123,0.25,0.0,-4.1666666666666625,-25.31645569620253,-25.0,-13.513513513513509,-15.789473684210531,1.9653376840725754
惠景城 (佛山),佛山,2021-06,夏季,3,19,47,0.6,600.0,23,11,0.10000000000000003,0.27450980392156865,0.2615384615384616,0.42857142857142855,0.1643835616438356,0.13636363636363635,-25.0,-17.391304347826086,-20.33898305084746,0.0,-28.125,-31.25,1.365366892038931
金桔咀 (佛山),佛山,2021-06,夏季,4,14,38,0.5,500.0,20,9,0.2,0.17647058823529416,0.12307692307692308,0.28571428571428575,0.1232876712328767,0.09090909090909091,33.33333333333333,-26.315789473684216,-19.14893617021277,-16.666666666666664,-13.043478260869568,-18.181818181818176,0.9994585591684707
