城市,PM10,PM2.5,AQI达标率,时间,季节,AQI达标率(小数),PM10环比变化率(%),PM2.5环比变化率(%),AQI达标率环比变化率(%),污染等级
东莞市,81,42,0.71,2021-01,冬季,0.71,0.0,0.0,0.0,一般
东莞市,41,25,0.679,2021-02,冬季,0.679,-49.382716049382715,-40.476190476190474,-4.366197183098574,较差
东莞市,50,25,0.903,2021-03,春季,0.903,21.95121951219512,0.0,32.98969072164948,良好
东莞市,51,24,0.733,2021-04,春季,0.733,2.0000000000000018,-4.0000000000000036,-18.826135105204877,一般
东莞市,26,13,0.935,2021-05,春季,0.935,-49.01960784313726,-45.833333333333336,27.557980900409284,良好
东莞市,27,13,0.9,2021-06,夏季,0.9,3.8461538461538547,0.0,-3.7433155080213942,良好
东莞市,28,14,0.871,2021-07,夏季,0.871,3.703703703703698,7.692307692307687,-3.2222222222222263,良好
东莞市,26,14,0.968,2021-08,夏季,0.968,-7.14285714285714,0.0,11.136624569460384,优秀
东莞市,36,20,0.7,2021-09,秋季,0.7,38.46153846153846,42.85714285714286,-27.685950413223146,一般
东莞市,33,19,0.968,2021-10,秋季,0.968,-8.333333333333337,-5.000000000000004,38.2857142857143,优秀
东莞市,47,25,0.967,2021-11,秋季,0.967,42.42424242424243,31.578947368421062,-0.10330578512396382,优秀
东莞市,51,29,1.0,2021-12,冬季,1.0,8.51063829787233,15.999999999999993,3.412616339193386,优秀
中山市,72,42,0.806,2021-01,冬季,0.806,0.0,0.0,0.0,一般
中山市,35,22,0.929,2021-02,冬季,0.929,-51.388888888888886,-47.61904761904761,15.2605459057072,良好
中山市,47,22,0.968,2021-03,春季,0.968,34.28571428571428,0.0,4.1980624327233595,优秀
中山市,42,19,0.9,2021-04,春季,0.9,-10.63829787234043,-13.636363636363635,-7.024793388429751,良好
中山市,23,11,0.935,2021-05,春季,0.935,-45.238095238095234,-42.10526315789473,3.8888888888888973,良好
中山市,24,11,0.933,2021-06,夏季,0.933,4.347826086956519,0.0,-0.21390374331551332,良好
中山市,24,11,0.839,2021-07,夏季,0.839,0.0,0.0,-10.075026795284037,一般
中山市,22,10,1.0,2021-08,夏季,1.0,-8.333333333333337,-9.090909090909093,19.189511323003572,优秀
中山市,30,15,0.767,2021-09,秋季,0.767,36.36363636363635,50.0,-23.299999999999997,一般
中山市,36,19,0.903,2021-10,秋季,0.903,19.999999999999996,26.66666666666666,17.731421121251635,良好
中山市,55,27,0.967,2021-11,秋季,0.967,52.77777777777777,42.10526315789473,7.087486157253586,优秀
中山市,64,35,0.839,2021-12,冬季,0.839,16.36363636363636,29.629629629629626,-13.23681489141675,一般
佛山市,89,48,0.774,2021-01,冬季,0.774,0.0,0.0,0.0,一般
佛山市,43,26,0.786,2021-02,冬季,0.786,-51.685393258426956,-45.833333333333336,1.5503875968992276,一般
佛山市,62,30,0.968,2021-03,春季,0.968,44.18604651162789,15.384615384615374,23.15521628498727,优秀
佛山市,49,24,0.8,2021-04,春季,0.8,-20.967741935483875,-19.999999999999996,-17.355371900826444,一般
佛山市,29,13,0.968,2021-05,春季,0.968,-40.816326530612244,-45.833333333333336,20.999999999999996,优秀
佛山市,30,14,0.9,2021-06,夏季,0.9,3.4482758620689724,7.692307692307687,-7.024793388429751,良好
佛山市,29,14,0.839,2021-07,夏季,0.839,-3.3333333333333326,0.0,-6.777777777777782,一般
佛山市,28,14,0.935,2021-08,夏季,0.935,-3.4482758620689613,0.0,11.442193087008356,良好
佛山市,40,21,0.533,2021-09,秋季,0.533,42.85714285714286,50.0,-42.99465240641711,较差
佛山市,37,20,0.839,2021-10,秋季,0.839,-7.499999999999996,-4.761904761904767,57.41088180112568,一般
佛山市,51,24,0.967,2021-11,秋季,0.967,37.83783783783783,19.999999999999996,15.256257449344467,优秀
