监测子站名称,城市,时间,季节,SO2,NO2,O3,CO_mg/m3,CO_μg/m3,PM10,PM2.5,SO2_标准化,NO2_标准化,O3_标准化,CO_μg/m3_标准化,PM10_标准化,PM2.5_标准化,SO2_环比变化率(%),NO2_环比变化率(%),O3_环比变化率(%),CO_μg/m3_环比变化率(%),PM10_环比变化率(%),PM2.5_环比变化率(%),综合污染指数
南城元岭 (东莞),东莞,2021-01,冬季,11,53,66,0.8,800.0,80,42,0.6923076923076924,0.7205882352941176,0.5,0.8,0.8148148148148148,0.7083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,4.236044075749958
南城元岭 (东莞),东莞,2021-02,冬季,8,25,79,0.5,500.0,39,24,0.46153846153846156,0.30882352941176466,0.696969696969697,0.19999999999999996,0.30864197530864196,0.33333333333333337,-27.27272727272727,-52.83018867924528,19.696969696969703,-37.5,-51.24999999999999,-42.85714285714286,2.3093069965618986
南城元岭 (东莞),东莞,2021-03,春季,11,34,63,0.6,600.0,48,24,0.6923076923076924,0.4411764705882353,0.4545454545454546,0.3999999999999999,0.41975308641975306,0.33333333333333337,37.5,36.00000000000001,-20.253164556962023,19.999999999999996,23.076923076923084,0.0,2.7411160371944687
南城元岭 (东莞),东莞,2021-04,春季,10,32,81,0.6,600.0,49,22,0.6153846153846154,0.4117647058823529,0.7272727272727273,0.3999999999999999,0.4320987654320988,0.29166666666666663,-9.090909090909093,-5.882352941176472,28.57142857142858,0.0,2.083333333333326,-8.333333333333337,2.8781874806384606
南城元岭 (东莞),东莞,2021-05,春季,8,18,59,0.6,600.0,25,13,0.46153846153846156,0.20588235294117646,0.3939393939393939,0.3999999999999999,0.13580246913580246,0.10416666666666666,-19.999999999999996,-43.75,-27.160493827160494,0.0,-48.97959183673469,-40.90909090909091,1.701329344221501
南城元岭 (东莞),东莞,2021-06,夏季,8,21,61,0.5,500.0,26,13,0.46153846153846156,0.25,0.4242424242424243,0.19999999999999996,0.14814814814814814,0.10416666666666666,0.0,16.666666666666675,3.3898305084745672,-16.666666666666664,4.0000000000000036,0.0,1.5880957005957008
南城元岭 (东莞),东莞,2021-07,夏季,8,21,64,0.6,600.0,28,21,0.46153846153846156,0.25,0.4696969696969697,0.3999999999999999,0.1728395061728395,0.27083333333333337,0.0,0.0,4.918032786885251,19.999999999999996,7.692307692307687,61.53846153846154,2.024908270741604
南城元岭 (东莞),东莞,2021-08,夏季,9,26,52,0.6,600.0,26,26,0.5384615384615384,0.32352941176470584,0.28787878787878785,0.3999999999999999,0.14814814814814814,0.375,12.5,23.809523809523814,-18.75,0.0,-7.14285714285714,23.809523809523814,2.0730178862531803
南城元岭 (东莞),东莞,2021-09,秋季,6,28,79,0.6,600.0,36,28,0.3076923076923077,0.3529411764705882,0.696969696969697,0.3999999999999999,0.2716049382716049,0.41666666666666663,-33.333333333333336,7.692307692307687,51.92307692307692,0.0,38.46153846153846,7.692307692307687,2.4458747860708643
南城元岭 (东莞),东莞,2021-10,秋季,7,20,63,0.6,600.0,32,19,0.3846153846153847,0.23529411764705882,0.4545454545454546,0.3999999999999999,0.2222222222222222,0.22916666666666666,16.666666666666675,-28.57142857142857,-20.253164556962023,0.0,-11.111111111111116,-32.14285714285714,1.925843845696787
南城元岭 (东莞),东莞,2021-11,秋季,9,30,65,0.6,600.0,46,24,0.5384615384615384,0.38235294117647056,0.48484848484848486,0.3999999999999999,0.3950617283950617,0.33333333333333337,28.57142857142858,50.0,3.1746031746031855,0.0,43.75,26.315789473684205,2.534058026214889
南城元岭 (东莞),东莞,2021-12,冬季,9,36,56,0.7,700.0,49,28,0.5384615384615384,0.47058823529411764,0.3484848484848485,0.6000000000000001,0.4320987654320988,0.41666666666666663,0.0,19.999999999999996,-13.846153846153841,16.666666666666675,6.521739130434789,16.666666666666675,2.80630005433927
紫马岭 (中山),中山,2021-01,冬季,5,52,54,0.6,600.0,69,38,0.23076923076923078,0.7058823529411764,0.31818181818181823,0.3999999999999999,0.6790123456790124,0.625,0.0,0.0,0.0,0.0,0.0,0.0,2.9588457475712375
紫马岭 (中山),中山,2021-02,冬季,4,17,75,0.5,500.0,34,21,0.15384615384615385,0.19117647058823528,0.6363636363636365,0.19999999999999996,0.24691358024691357,0.27083333333333337,-19.999999999999996,-67.3076923076923,38.888888888888886,-16.666666666666664,-50.72463768115942,-44.73684210526315,1.6991331743782725
紫马岭 (中山),中山,2021-03,春季,3,27,54,0.5,500.0,44,21,0.07692307692307693,0.338235294117647,0.31818181818181823,0.19999999999999996,0.37037037037037035,0.27083333333333337,-25.0,58.823529411764696,-28.000000000000004,0.0,29.41176470588236,0.0,1.574543892926246
紫马岭 (中山),中山,2021-04,春季,4,21,72,0.5,500.0,40,19,0.15384615384615385,0.25,0.5909090909090908,0.19999999999999996,0.32098765432098764,0.22916666666666666,33.33333333333333,-22.22222222222222,33.33333333333333,0.0,-9.090909090909093,-9.523809523809524,1.7449095657428992
