监测子站名称,城市,时间,季节,SO2,NO2,O3,CO_mg/m3,CO_μg/m3,PM10,PM2.5,SO2_标准化,NO2_标准化,O3_标准化,CO_μg/m3_标准化,PM10_标准化,PM2.5_标准化,SO2_环比变化率(%),NO2_环比变化率(%),O3_环比变化率(%),CO_μg/m3_环比变化率(%),PM10_环比变化率(%),PM2.5_环比变化率(%),综合污染指数
南城元岭 (东莞),东莞,2021-01,冬季,9,20,59,0.7,700.0,41,26,0.6153846153846154,0.2884615384615385,0.35820895522388063,0.5714285714285714,0.4576271186440678,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.924444132476007
南城元岭 (东莞),东莞,2021-02,冬季,9,35,70,0.6,600.0,51,27,0.6153846153846154,0.576923076923077,0.5223880597014925,0.42857142857142855,0.6271186440677966,0.6666666666666667,0.0,75.0,18.644067796610166,-14.28571428571429,24.390243902439025,3.8461538461538547,3.437052491315077
南城元岭 (东莞),东莞,2021-03,春季,9,35,72,0.7,700.0,57,27,0.6153846153846154,0.576923076923077,0.5522388059701493,0.5714285714285714,0.7288135593220338,0.6666666666666667,0.0,0.0,2.857142857142847,16.666666666666675,11.764705882352944,0.0,3.7114552956951137
南城元岭 (东莞),东莞,2021-04,春季,9,30,71,0.7,700.0,41,21,0.6153846153846154,0.48076923076923084,0.5373134328358209,0.5714285714285714,0.4576271186440678,0.4666666666666666,0.0,-14.28571428571429,-1.388888888888884,0.0,-28.07017543859649,-22.22222222222222,3.1291896357289732
南城元岭 (东莞),东莞,2021-05,春季,9,23,75,0.6,600.0,36,19,0.6153846153846154,0.3461538461538462,0.5970149253731343,0.42857142857142855,0.3728813559322034,0.39999999999999997,0.0,-23.33333333333333,5.633802816901401,-14.28571428571429,-12.195121951219512,-9.523809523809524,2.760006171415228
南城元岭 (东莞),东莞,2021-06,夏季,8,18,61,0.6,600.0,23,13,0.5384615384615385,0.25,0.3880597014925373,0.42857142857142855,0.15254237288135594,0.2,-11.111111111111116,-21.739130434782606,-18.666666666666664,0.0,-36.111111111111114,-31.57894736842105,1.9576350414068604
南城元岭 (东莞),东莞,2021-07,夏季,7,15,57,0.6,600.0,21,11,0.4615384615384616,0.19230769230769235,0.32835820895522394,0.42857142857142855,0.11864406779661016,0.1333333333333333,-12.5,-16.666666666666664,-6.5573770491803245,0.0,-8.695652173913048,-15.384615384615385,1.6627531925027499
南城元岭 (东莞),东莞,2021-08,夏季,7,18,56,0.7,700.0,26,14,0.4615384615384616,0.25,0.31343283582089554,0.5714285714285714,0.20338983050847456,0.23333333333333334,0.0,19.999999999999996,-1.7543859649122862,16.666666666666675,23.809523809523814,27.27272727272727,2.0331230326297365
南城元岭 (东莞),东莞,2021-09,秋季,8,20,50,0.6,600.0,27,15,0.5384615384615385,0.2884615384615385,0.22388059701492535,0.42857142857142855,0.22033898305084745,0.26666666666666666,14.28571428571428,11.111111111111116,-10.71428571428571,-14.28571428571429,3.8461538461538547,7.14285714285714,1.9663807522269452
南城元岭 (东莞),东莞,2021-10,秋季,8,17,73,0.8,800.0,34,21,0.5384615384615385,0.23076923076923078,0.5671641791044777,0.7142857142857142,0.3389830508474576,0.4666666666666666,0.0,-15.000000000000002,46.0,33.33333333333333,25.92592592592593,39.99999999999999,2.856330380135086
